cluster_id,lab_l,lab_a,lab_b,r,g,b,hex_color,hue_angle,n_products
122,43.68,7.85,-9.72,0.4273,0.3905,0.468,#6c6377,308.9,71
123,48.19,8.17,-10.09,0.4726,0.4334,0.5154,#786e83,309.0,36
124,34.16,7.44,-8.34,0.338,0.3017,0.367,#564c5d,311.7,77
125,38.2,8.8,-10.09,0.3795,0.3366,0.4168,#60556a,311.1,125
126,37.45,10.82,3.18,0.4204,0.3211,0.327,#6b5153,16.4,6
127,42.15,11.89,7.55,0.4824,0.3615,0.3434,#7b5c57,32.4,14
128,41.25,6.74,2.73,0.4323,0.3663,0.3648,#6e5d5d,22.1,4
129,52.99,-2.91,-4.01,0.4609,0.5032,0.5224,#758085,234.0,9
130,49.32,0.09,-2.09,0.4537,0.46,0.4733,#737578,272.6,97
131,53.12,2.75,-8.45,0.4885,0.4938,0.5539,#7c7d8d,288.0,35
132,53.35,0.39,-5.28,0.4848,0.5003,0.5349,#7b7f88,274.2,84
133,45.4,1.52,-11.38,0.392,0.4213,0.4951,#636b7e,277.6,50
134,38.79,2.68,-9.41,0.3452,0.3552,0.4176,#585a6a,285.9,52
135,38.44,0.83,-1.53,0.3557,0.3535,0.3645,#5a5a5c,298.4,223
136,44.07,0.56,-2.98,0.4029,0.408,0.4276,#66686d,280.7,186
137,45.91,2.68,-5.08,0.4288,0.422,0.4595,#6d6b75,297.8,36
138,48.68,0.89,-20.33,0.3766,0.4577,0.5871,#607495,272.5,121
139,46.17,15.45,-33.72,0.4023,0.4056,0.6505,#6667a5,294.6,6
140,43.59,2.05,-23.79,0.3167,0.4071,0.5575,#50678e,274.9,60
141,37.41,3.53,-24.83,0.2629,0.3458,0.5015,#43587f,278.1,78
142,33.85,6.18,-29.89,0.2171,0.3096,0.4978,#374e7e,281.7,44
143,28.85,4.84,-24.92,0.191,0.2651,0.4173,#30436a,281.0,43
144,36.0,15.88,-51.38,0.1113,0.3189,0.6585,#1c51a7,287.2,29
145,41.55,16.45,-47.21,0.2606,0.3662,0.6905,#425db0,289.2,10
146,29.06,41.46,-69.89,0.1251,0.1953,0.7056,#1f31b3,300.7,6
147,33.12,26.77,-59.2,0.1303,0.2701,0.6791,#2144ad,294.3,88
148,29.61,18.56,-50.79,0.0596,0.255,0.5871,#0f4195,290.1,145
149,25.63,15.67,-36.57,0.1743,0.2185,0.4574,#2c3774,293.2,12
150,19.56,24.49,-47.84,0.0692,0.1517,0.4656,#112676,297.1,16
151,23.18,18.23,-44.8,0.0695,0.1965,0.4833,#11327b,292.1,87
152,22.52,5.65,-22.22,0.1566,0.207,0.3403,#273456,284.3,69
153,17.98,16.44,-31.8,0.1418,0.1494,0.3541,#24265a,297.3,162
154,38.79,-3.2,-11.23,0.2922,0.3674,0.4285,#4a5d6d,254.1,13
155,35.42,-1.17,-5.5,0.3006,0.3303,0.3605,#4c545b,258.0,145
156,28.59,0.45,-7.72,0.2421,0.2655,0.3105,#3d434f,273.3,83
157,30.62,1.68,-16.5,0.2308,0.2841,0.3828,#3a4861,275.8,146
158,32.72,3.26,-12.04,0.2828,0.2985,0.3757,#484c5f,285.2,58
