cluster_id,lab_l,lab_a,lab_b,r,g,b,hex_color,hue_angle,n_products
172,84.4,-24.01,25.15,0.7127,0.871,0.6363,#b5dea2,133.7,10
173,83.2,-20.3,36.08,0.7589,0.8484,0.5416,#c1d88a,119.4,19
174,91.93,-18.72,34.2,0.8637,0.9429,0.648,#dcf0a5,118.7,28
175,86.53,-38.37,40.26,0.6542,0.919,0.54,#a6ea89,133.6,12
176,91.64,-31.58,64.71,0.8231,0.9608,0.389,#d1f563,116.0,11
177,89.76,-25.8,46.41,0.8121,0.9308,0.5275,#cfed86,119.1,20
178,77.71,-16.98,62.08,0.7675,0.7783,0.2686,#c3c644,105.3,9
179,70.1,-24.01,53.59,0.6213,0.7109,0.265,#9eb543,114.1,12
180,79.33,-10.92,43.41,0.7998,0.7856,0.4473,#cbc872,104.1,22
181,86.39,-16.4,49.35,0.8511,0.8737,0.471,#d9de78,108.4,19
182,77.53,-3.38,67.0,0.8606,0.7467,0.2227,#dbbe38,92.9,15
183,82.38,3.59,60.27,0.955,0.7831,0.3438,#f3c757,86.6,76
184,85.42,-7.48,59.67,0.918,0.8422,0.3767,#ead660,97.1,55
185,85.79,1.8,50.84,0.9717,0.8258,0.4579,#f7d274,88.0,72
186,89.06,-1.95,45.24,0.9761,0.8716,0.5354,#f8de88,92.5,36
187,78.55,5.89,28.47,0.8776,0.7412,0.5563,#dfbd8d,78.3,76
188,86.26,9.31,27.82,0.9873,0.8163,0.642,#fbd0a3,71.5,10
189,87.86,1.99,24.64,0.9487,0.8529,0.6814,#f1d9ad,85.4,14
190,77.13,15.62,46.85,0.9509,0.6977,0.4055,#f2b167,71.6,11
191,79.99,10.54,75.15,0.9826,0.7382,0.1636,#fabc29,82.0,7
192,75.13,13.95,63.95,0.9348,0.6787,0.2373,#eead3c,77.7,30
193,73.47,3.79,22.6,0.7948,0.6932,0.5466,#cab08b,80.5,77
194,65.5,4.63,17.96,0.7034,0.6087,0.499,#b39b7f,75.6,105
195,73.94,1.69,10.15,0.7557,0.706,0.6404,#c0b4a3,80.6,63
196,77.33,0.11,11.01,0.7835,0.7458,0.6696,#c7beaa,89.4,77
197,66.8,-0.63,4.86,0.6478,0.6374,0.6031,#a5a299,97.4,29
198,67.06,-3.81,15.53,0.6572,0.6445,0.5305,#a7a487,103.8,50
199,69.85,-0.49,12.12,0.7015,0.6672,0.5836,#b2aa94,92.3,70
200,62.82,3.24,37.02,0.6989,0.5809,0.3357,#b29455,85.0,3
201,60.5,-6.22,31.6,0.6055,0.5787,0.3509,#9a9359,101.1,12
202,56.92,-3.64,22.72,0.5683,0.5383,0.38,#908960,99.1,7
203,60.95,-3.46,14.78,0.5937,0.5805,0.4744,#979478,103.2,24
204,64.75,-15.97,17.2,0.5474,0.6446,0.4935,#8ba47d,132.9,18
205,70.42,-9.46,33.12,0.6928,0.6885,0.4363,#b0af6f,105.9,58
206,60.36,12.49,9.03,0.6792,0.5388,0.5106,#ad8982,35.9,8
207,54.27,10.02,13.37,0.6082,0.4826,0.4206,#9b7b6b,53.1,63
208,53.29,9.93,-1.5,0.5624,0.4769,0.5102,#8f7982,351.4,10
209,55.58,25.76,10.98,0.7104,0.4536,0.4521,#b57373,23.1,1
210,50.19,4.84,16.26,0.5397,0.4539,0.3611,#89735c,73.4,46
211,58.06,5.05,11.77,0.6135,0.5329,0.4678,#9c8777,66.8,30
212,56.99,5.2,17.74,0.6159,0.5205,0.4167,#9d846a,73.6,109
213,62.12,2.18,2.91,0.6134,0.583,0.5689,#9c9491,53.1,30
214,58.99,0.48,-0.93,0.5571,0.5558,0.5629,#8e8d8f,297.5,141
215,47.79,-0.23,2.01,0.449,0.4446,0.4314,#72716e,96.4,83
216,50.85,2.19,2.12,0.4962,0.4695,0.4609,#7e7775,44.1,57
217,54.12,-0.31,0.52,0.5068,0.5079,0.5038,#818180,120.7,219
218,53.63,56.43,49.04,0.8862,0.3011,0.1778,#e14c2d,41.0,48
219,49.98,50.52,52.17,0.8135,0.2928,0.1119,#cf4a1c,45.9,13
220,60.34,52.85,53.35,0.9556,0.3915,0.2043,#f36334,45.3,34
221,56.31,49.49,58.91,0.8908,0.3638,0.1089,#e35c1b,50.0,15
222,61.43,44.32,57.81,0.9285,0.4395,0.1704,#ec702b,52.5,28
223,54.81,57.54,30.11,0.8931,0.3122,0.3241,#e34f52,27.6,15
224,51.31,60.81,13.89,0.8502,0.2579,0.3985,#d84165,12.9,9
225,57.69,53.87,14.9,0.8929,0.3673,0.4521,#e35d73,15.5,24
226,59.8,57.67,39.32,0.9634,0.3644,0.3072,#f55c4e,34.3,62
227,68.96,37.07,19.33,0.9418,0.552,0.5306,#f08c87,27.5,27
228,65.88,27.24,10.85,0.834,0.5539,0.5563,#d48d8d,21.7,10
229,67.88,24.37,21.2,0.8583,0.5806,0.5039,#da9480,41.0,9
230,67.17,41.23,28.85,0.9571,0.5162,0.4468,#f48371,35.0,13
231,65.14,56.41,-24.98,0.9166,0.4538,0.7998,#e973cb,336.1,3
232,68.54,46.19,1.6,0.958,0.5201,0.651,#f484a6,2.0,16
233,58.54,41.21,-8.13,0.7934,0.4381,0.6123,#ca6f9c,348.8,6
234,65.23,28.77,-3.18,0.8055,0.5468,0.6466,#cd8ba4,353.7,1
235,51.82,46.39,-22.36,0.7132,0.3556,0.6378,#b55aa2,334.3,7
236,44.32,38.98,-17.08,0.6029,0.3073,0.5251,#994e85,336.3,13
237,43.46,45.15,0.37,0.6619,0.2645,0.4065,#a84367,0.5,13
238,51.06,70.27,-1.93,0.8735,0.1891,0.4999,#de307f,358.4,1
239,58.66,10.57,-7.88,0.6029,0.5311,0.608,#99879b,323.3,16
240,64.42,5.87,-5.96,0.6358,0.6007,0.6543,#a299a6,314.6,23
241,64.66,9.63,-3.96,0.6716,0.5936,0.6434,#ab97a4,337.7,32
242,59.76,16.03,-21.09,0.606,0.5332,0.7101,#9a87b5,307.2,2
243,50.91,14.83,-18.27,0.517,0.4468,0.5977,#837198,309.1,7
244,52.11,4.4,-11.21,0.4803,0.4809,0.5621,#7a7a8f,291.4,21
245,56.93,2.71,-11.69,0.514,0.5332,0.615,#83879c,283.0,14
246,72.93,22.14,15.59,0.8924,0.6413,0.5946,#e3a397,35.1,7
247,68.01,21.54,2.63,0.805,0.595,0.6344,#cd97a1,7.0,35
248,73.71,31.95,1.04,0.9313,0.6242,0.7073,#ed9fb4,1.9,10
249,83.0,11.13,-0.87,0.8913,0.7834,0.8182,#e3c7d0,355.5,22
250,80.77,19.45,1.4,0.9311,0.7364,0.7786,#edbbc6,4.1,35
251,78.52,6.86,-3.95,0.8005,0.7466,0.791,#ccbec9,330.1,40
252,76.47,19.43,-8.5,0.8542,0.6935,0.803,#d9b0cc,336.4,7
253,78.91,10.82,-13.56,0.8007,0.7441,0.8651,#ccbddc,308.6,14
254,88.67,-26.93,-9.35,0.573,0.933,0.9388,#92edef,199.1,10
255,69.62,-23.03,-7.41,0.4234,0.7153,0.7163,#6bb6b6,197.8,8
256,78.05,-26.18,-1.68,0.5127,0.8111,0.7655,#82cec3,183.7,5
257,72.5,-40.52,-6.66,0.151,0.7759,0.74,#26c5bc,189.3,3
258,79.98,-8.66,-20.89,0.6075,0.8033,0.9279,#9accec,247.5,14
259,77.55,-25.52,-25.86,0.3068,0.8117,0.9352,#4eceee,225.4,10
260,67.83,-13.28,-8.57,0.5013,0.6783,0.7064,#7facb4,212.8,7
261,69.02,-8.13,-4.68,0.5782,0.6793,0.6923,#93adb0,209.9,26
262,78.74,-6.83,-4.19,0.6933,0.7806,0.7934,#b0c7ca,211.5,62
263,74.36,-9.2,-5.76,0.62,0.7389,0.757,#9ebcc1,212.0,31
264,62.81,-25.84,-21.71,0.1242,0.652,0.7433,#1fa6bd,220.0,22
265,67.5,-20.5,-28.82,0.2212,0.6949,0.8449,#38b1d7,234.6,30
266,52.67,-17.58,-27.86,0.0071,0.535,0.6777,#0188ac,237.7,9
267,58.52,-12.01,-13.46,0.3911,0.58,0.6421,#6393a3,228.3,13
268,72.67,-6.31,-25.46,0.5242,0.721,0.8794,#85b7e0,256.1,78
269,67.31,0.83,-35.47,0.4726,0.6529,0.8916,#78a6e3,271.3,25
270,67.27,-7.62,-29.66,0.4195,0.6681,0.8493,#6aaad8,255.6,33
271,74.19,2.67,-20.77,0.6527,0.7157,0.8637,#a6b6dc,277.3,19
272,65.33,-1.78,-14.17,0.5525,0.63,0.7201,#8ca0b7,262.8,106
273,69.31,-7.13,-9.15,0.5704,0.6817,0.727,#91adb9,232.0,10
274,66.72,-4.88,-15.96,0.5308,0.6517,0.7472,#87a6be,253.0,22
275,51.2,0.62,-42.08,0.2105,0.492,0.7595,#357dc1,270.8,30
276,57.69,0.69,-53.29,0.0346,0.5623,0.9088,#088fe7,270.7,20
277,60.16,-7.89,-36.0,0.2661,0.597,0.8153,#4398cf,257.6,37
278,60.53,21.74,-43.02,0.5528,0.5357,0.8705,#8c88dd,296.8,8
279,56.05,-3.25,-14.83,0.4421,0.538,0.6264,#70899f,257.6,81
280,62.32,-1.11,-20.77,0.4944,0.5996,0.7337,#7e98bb,266.9,22
281,59.8,-2.91,-16.33,0.4755,0.5759,0.676,#7992ac,259.9,99
282,67.95,6.99,9.66,0.7264,0.6304,0.5824,#b9a094,54.1,41
283,62.6,21.61,29.28,0.7941,0.5326,0.3942,#ca8764,53.6,6
284,72.91,11.72,28.21,0.8506,0.6665,0.5018,#d8a97f,67.4,50
285,72.61,18.99,36.55,0.9045,0.6423,0.4395,#e6a370,62.5,10
286,69.39,11.37,58.21,0.8462,0.626,0.23,#d79f3a,78.9,23
287,63.92,20.44,57.17,0.8318,0.5453,0.1872,#d48b2f,70.3,19
288,65.04,35.42,60.3,0.9285,0.5094,0.1779,#ec812d,59.6,40
289,69.89,28.43,57.5,0.9484,0.5829,0.2502,#f1943f,63.7,29
290,48.87,10.41,41.72,0.5916,0.4239,0.169,#966c2b,76.0,53
291,53.77,17.91,40.28,0.6858,0.4525,0.2294,#ae733a,66.0,11
292,47.99,-4.18,23.89,0.4755,0.4503,0.2875,#797249,99.9,7
293,41.96,-8.32,34.13,0.4045,0.3985,0.1581,#676528,103.7,2
294,40.9,1.51,27.12,0.4424,0.3698,0.202,#705e33,86.8,15
295,41.91,2.31,15.66,0.4394,0.3795,0.2875,#706049,81.6,58
296,37.46,10.89,27.91,0.4587,0.3163,0.1686,#74502b,68.7,9
297,43.8,10.8,40.12,0.5368,0.3745,0.1343,#885f22,74.9,8
