cluster_id,lab_l,lab_a,lab_b,r,g,b,hex_color,hue_angle,n_products
389,56.58,1.51,18.68,0.59,0.5245,0.4055,#968567,85.4,95
390,64.52,1.14,20.32,0.6751,0.6062,0.4721,#ac9a78,86.8,106
391,62.88,3.69,19.41,0.6723,0.5836,0.4626,#ab9475,79.2,135
392,58.63,18.05,30.38,0.7303,0.5021,0.3473,#ba8058,59.3,41
393,54.04,19.45,22.39,0.6761,0.4539,0.3593,#ac735b,49.0,13
394,55.21,12.71,23.71,0.6524,0.4832,0.3599,#a67b5b,61.8,24
395,57.29,6.7,20.37,0.6333,0.5195,0.4017,#a18466,71.8,61
396,57.76,3.17,12.29,0.5993,0.534,0.461,#988875,75.5,94
397,58.93,7.96,10.33,0.6381,0.5352,0.4867,#a2887c,52.4,34
398,64.13,8.28,19.16,0.7146,0.5855,0.4776,#b69579,66.6,36
399,54.59,-7.92,11.73,0.4897,0.5256,0.432,#7c866e,124.0,12
400,51.28,-5.27,5.67,0.4586,0.4884,0.4406,#747c70,132.9,19
401,57.7,-2.26,6.68,0.5474,0.5466,0.4978,#8b8b7e,108.7,53
402,62.15,0.1,10.18,0.6193,0.5862,0.5188,#9d9584,89.4,176
403,54.16,0.56,5.28,0.5273,0.5052,0.4725,#868078,83.9,130
404,51.58,1.68,11.28,0.5237,0.4757,0.4072,#857967,81.5,78
405,52.03,-1.37,9.97,0.505,0.487,0.4199,#807c6b,97.8,81
406,58.54,2.44,4.17,0.5818,0.5456,0.524,#948b85,59.6,28
407,59.92,6.07,1.93,0.6146,0.5518,0.5536,#9c8c8d,17.6,28
408,65.18,4.67,5.69,0.6707,0.6081,0.5814,#ab9b94,50.6,86
409,67.05,2.01,6.73,0.6748,0.6335,0.5931,#aca197,73.3,119
410,64.2,2.44,-0.39,0.6267,0.6048,0.6131,#9f9a9c,351.0,65
411,64.25,1.05,-3.91,0.6053,0.6094,0.6378,#9a9ba2,285.0,449
412,68.12,0.88,1.29,0.6617,0.6487,0.642,#a8a5a3,55.8,149
413,66.96,-0.69,-2.22,0.6261,0.6411,0.6542,#9fa3a6,252.7,381
414,54.92,-0.72,-1.95,0.5037,0.5174,0.5283,#808386,249.7,168
415,57.31,0.83,-2.26,0.5382,0.5383,0.5548,#89898d,290.2,299
416,59.38,-3.95,-0.73,0.5286,0.5692,0.565,#869190,190.5,52
417,60.1,-0.97,-3.24,0.5498,0.5709,0.5899,#8c9196,253.4,416
418,61.98,0.26,0.52,0.5907,0.5865,0.5836,#969594,63.8,253
419,72.46,-36.97,-15.34,0.0412,0.7722,0.802,#0ac4cc,202.5,84
420,78.42,-27.87,-14.86,0.4004,0.8221,0.8649,#66d1dc,208.1,20
421,77.52,-36.22,-14.26,0.2334,0.8264,0.8498,#3bd2d8,201.5,65
422,72.34,-33.88,-7.09,0.3032,0.7635,0.7421,#4dc2bd,191.8,92
423,78.69,-49.99,2.07,0.1102,0.8573,0.7426,#1cdabd,177.6,4
424,82.74,-24.84,0.32,0.5883,0.8599,0.8021,#96dbcc,179.3,13
425,76.91,-27.16,-2.68,0.4833,0.8007,0.7604,#7bccc1,185.6,37
426,62.32,-17.16,8.53,0.4847,0.6233,0.5295,#7b9e87,153.6,10
427,72.99,-21.28,5.13,0.5434,0.7451,0.6631,#8abea9,166.4,4
428,71.4,-13.34,3.5,0.5913,0.713,0.659,#96b5a8,165.3,38
429,63.26,-31.21,-14.91,0.1029,0.6634,0.7004,#1aa9b2,205.5,22
430,68.28,-34.59,-12.29,0.151,0.722,0.7353,#26b8bb,199.6,119
431,63.52,-19.05,-1.66,0.4357,0.6418,0.6123,#6fa39c,185.0,67
432,59.88,-31.23,-9.35,0.1552,0.6261,0.6263,#279f9f,196.7,81
433,91.21,-3.02,-2.97,0.8656,0.909,0.9226,#dce7eb,224.5,49
434,87.02,-7.09,-1.7,0.7904,0.8713,0.866,#c9dedc,193.4,33
435,89.56,-6.49,-5.72,0.8071,0.8994,0.9242,#cde5eb,221.4,137
436,84.8,-10.95,-13.79,0.6767,0.8588,0.9299,#acdaed,231.6,24
437,83.87,-6.84,-5.05,0.7449,0.8369,0.8559,#bdd5da,216.4,169
438,85.68,-1.89,-10.83,0.7825,0.8475,0.919,#c7d8ea,260.1,81
439,79.25,-1.44,-7.26,0.7316,0.7751,0.8219,#bac5d1,258.8,57
440,81.99,-1.87,-2.63,0.7752,0.8045,0.8182,#c5cdd0,234.5,132
441,82.78,-11.13,2.0,0.7246,0.8323,0.7919,#b8d4c9,169.8,21
442,76.13,-7.59,1.13,0.6799,0.7525,0.7269,#adbfb9,171.5,22
443,74.85,-6.87,-7.19,0.6392,0.7396,0.7728,#a3bcc5,226.3,51
444,76.22,-10.53,-11.51,0.6005,0.7634,0.8183,#99c2d0,227.6,143
445,73.55,-14.49,-11.26,0.5348,0.7425,0.7868,#88bdc8,217.8,129
446,69.55,-11.86,-3.01,0.5585,0.6921,0.6857,#8eb0ae,194.2,28
447,77.49,-14.96,-4.96,0.6042,0.7842,0.7844,#9ac7c8,198.3,32
448,72.82,3.56,-28.09,0.6077,0.7018,0.9009,#9ab2e5,277.2,47
449,75.6,-0.33,-12.76,0.6788,0.735,0.8216,#adbbd1,268.5,98
450,80.1,0.99,-12.06,0.741,0.7802,0.8663,#bcc6dc,274.7,89
451,77.36,-0.63,-22.86,0.6463,0.758,0.9136,#a4c1e8,268.4,41
452,81.42,-3.15,-16.28,0.7005,0.8054,0.9111,#b2cde8,259.1,72
453,79.14,-8.34,-27.32,0.5603,0.7959,0.9653,#8ecaf6,253.0,50
454,75.62,-21.29,-24.61,0.3731,0.7823,0.9048,#5fc7e6,229.1,35
455,79.48,-14.18,-18.94,0.5556,0.8087,0.9077,#8dcee7,233.2,48
456,71.87,-3.32,-13.49,0.6104,0.702,0.7857,#9bb3c8,256.2,100
457,65.77,-3.9,-12.2,0.5479,0.6386,0.7109,#8ba2b5,252.3,133
458,68.69,-6.26,-22.37,0.5019,0.6776,0.8136,#7faccf,254.4,58
459,63.65,-5.48,-26.31,0.4303,0.6245,0.7862,#6d9fc8,258.2,118
460,69.81,-7.47,-39.07,0.3601,0.6983,0.9446,#5bb2f0,259.2,93
461,72.8,-7.16,-32.32,0.4654,0.7268,0.93,#76b9ed,257.5,140
462,68.37,6.65,-18.07,0.6367,0.644,0.7811,#a2a4c7,290.2,21
463,63.79,10.61,-16.55,0.6257,0.5863,0.7214,#9f95b7,302.7,73
464,60.0,1.51,-15.82,0.518,0.5684,0.6751,#8490ac,275.5,39
