cluster_id,lab_l,lab_a,lab_b,r,g,b,hex_color,hue_angle,n_products
112,64.57,0.64,-1.32,0.6143,0.6129,0.6231,#9c9c9e,296.0,414
113,70.95,3.63,-4.41,0.6933,0.6738,0.7124,#b0abb5,309.5,42
114,68.26,0.67,-4.1,0.6435,0.6521,0.6812,#a4a6ad,279.3,366
115,78.67,0.98,-9.26,0.737,0.7639,0.8303,#bbc2d3,276.0,39
116,74.52,0.78,-4.38,0.7096,0.7183,0.7501,#b4b7bf,280.1,255
117,74.72,0.3,-0.34,0.7221,0.7204,0.7233,#b8b7b8,311.7,909
118,78.58,0.92,-1.63,0.7639,0.7607,0.7742,#c2c1c5,299.5,1008
119,70.18,-0.3,0.95,0.6736,0.6732,0.666,#ababa9,107.5,302
120,76.96,-3.16,-3.35,0.7081,0.753,0.7685,#b4c0c3,226.6,80
121,61.38,24.85,18.97,0.7835,0.5129,0.4549,#c78273,37.4,16
122,58.0,16.0,6.87,0.6708,0.5064,0.5021,#ab8180,23.3,11
123,69.08,36.6,27.73,0.9528,0.5528,0.4725,#f28c78,37.2,23
124,76.52,29.41,22.11,0.9906,0.656,0.5865,#fca795,36.9,7
125,78.71,21.0,13.66,0.9475,0.7065,0.6685,#f1b4aa,33.0,22
126,73.57,34.74,10.65,0.9672,0.6108,0.6384,#f69ba2,17.0,10
127,66.15,25.19,12.41,0.8278,0.5624,0.548,#d38f8b,26.2,5
128,73.17,6.42,0.78,0.7543,0.6892,0.6996,#c0afb2,7.0,149
129,67.98,6.04,0.1,0.694,0.6356,0.6496,#b0a2a5,1.0,31
130,77.95,14.65,2.58,0.8697,0.7187,0.739,#ddb7bc,10.0,12
131,82.13,9.14,-0.28,0.8689,0.7788,0.8041,#ddc6cd,358.2,52
132,67.73,16.46,-8.0,0.7393,0.6093,0.7048,#bc9bb3,334.1,7
133,67.2,12.59,-17.58,0.6726,0.6171,0.7656,#ab9dc3,305.6,24
134,62.94,7.15,0.11,0.6484,0.5807,0.5972,#a59498,0.9,89
135,69.81,11.56,3.23,0.7608,0.6403,0.6476,#c2a3a5,15.6,30
136,32.09,29.37,37.52,0.4964,0.2106,0.0564,#7e350e,51.9,2
137,36.01,7.89,23.34,0.4231,0.3107,0.186,#6b4f2f,71.3,63
138,30.94,8.13,22.21,0.372,0.2643,0.1498,#5e4326,69.9,109
139,37.74,17.57,11.29,0.4754,0.3046,0.2801,#794d47,32.7,25
140,39.15,17.91,31.1,0.5154,0.3133,0.1635,#834f29,60.1,25
141,44.33,15.32,26.11,0.5528,0.3699,0.2431,#8c5e3d,59.6,37
142,39.9,-2.89,13.29,0.3833,0.3715,0.2836,#615e48,102.3,134
143,36.53,-2.4,5.17,0.3354,0.3405,0.3044,#55564d,114.9,24
144,35.15,-3.18,12.48,0.3346,0.3277,0.246,#55533e,104.3,382
145,34.8,-1.04,11.83,0.3431,0.3204,0.2473,#57513f,95.0,164
146,49.35,2.75,-1.1,0.4758,0.4544,0.4675,#797377,338.2,88
147,46.0,0.6,-1.34,0.4272,0.4263,0.4359,#6c6c6f,294.2,316
148,39.21,2.66,0.57,0.3812,0.3564,0.3587,#615a5b,12.0,43
149,44.79,3.08,2.15,0.4423,0.4084,0.4019,#706866,34.9,60
150,45.58,-1.13,3.15,0.4246,0.4247,0.4025,#6c6c66,109.7,30
151,49.47,-2.82,10.61,0.4712,0.4645,0.3907,#787663,104.9,3
152,50.25,-4.22,2.24,0.4456,0.4769,0.4534,#717973,152.0,27
153,53.0,-1.6,17.68,0.5309,0.4955,0.3773,#877e60,95.2,49
154,47.56,-8.31,21.37,0.4398,0.4546,0.2998,#70734c,111.3,4
155,49.15,1.84,33.02,0.5374,0.4477,0.2353,#89723b,86.8,8
156,41.37,2.45,27.13,0.4526,0.3723,0.2064,#735e34,84.8,48
157,50.0,9.35,24.13,0.5776,0.44,0.3072,#93704e,68.8,33
158,51.54,3.11,13.62,0.5375,0.4716,0.3914,#897863,77.1,158
159,39.81,3.27,12.67,0.4188,0.3581,0.2877,#6a5b49,75.5,79
160,46.39,3.26,8.02,0.4739,0.422,0.3791,#786b60,67.9,61
161,47.59,1.44,15.83,0.4914,0.4361,0.3389,#7d6f56,84.8,79
162,44.09,3.45,17.3,0.471,0.3976,0.297,#78654b,78.7,105
163,20.7,-5.93,-4.55,0.1388,0.2065,0.2207,#233438,217.5,15
164,19.16,-11.03,-4.21,0.0791,0.2008,0.2051,#143334,200.9,39
165,29.2,-6.59,-7.24,0.1947,0.2835,0.3126,#31484f,227.7,15
166,27.05,-15.8,-5.81,0.08,0.2778,0.2836,#144648,200.2,60
167,33.16,-15.89,-7.94,0.1257,0.335,0.353,#20555a,206.6,42
168,37.97,-7.31,-1.68,0.292,0.3646,0.36,#4a5c5b,192.9,10
169,44.17,-7.23,-3.96,0.3417,0.4246,0.434,#576c6e,208.7,30
170,42.51,-4.47,-5.34,0.3424,0.4037,0.4271,#57666c,230.1,33
171,39.2,-19.5,-6.09,0.1547,0.3976,0.3984,#276565,197.3,20
172,46.16,-21.45,-17.93,0.0,0.4724,0.5436,#00788a,219.9,10
173,46.96,-23.1,-7.49,0.1729,0.48,0.4831,#2c7a7b,198.0,53
174,51.53,-22.83,37.37,0.4083,0.5176,0.2181,#688337,121.4,16
175,43.02,-22.64,36.85,0.324,0.4327,0.1417,#526e24,121.6,12
176,47.52,-37.56,11.84,0.0945,0.5023,0.3594,#18805b,162.5,42
177,40.59,-41.02,26.26,0.0355,0.4344,0.1965,#096e32,147.4,8
178,43.71,-34.33,15.3,0.1431,0.4588,0.301,#24754c,156.0,96
179,30.87,-3.16,13.6,0.297,0.2881,0.2014,#4b4933,103.1,324
180,26.78,-2.98,11.98,0.2577,0.2514,0.1764,#41402c,104.0,443
181,29.94,-1.2,10.09,0.2934,0.2767,0.2153,#4a4636,96.8,227
182,18.27,0.21,17.55,0.2068,0.1715,0.0737,#342b12,89.3,9
183,21.83,-0.74,8.43,0.2199,0.2047,0.1563,#383427,95.0,165
184,20.28,-6.08,3.09,0.1615,0.2014,0.1735,#29332c,153.0,15
185,17.22,-10.16,4.67,0.1122,0.1811,0.1389,#1c2e23,155.3,93
186,16.82,-15.32,7.16,0.074,0.1841,0.121,#122e1e,155.0,259
187,30.01,-34.99,30.78,0.047,0.3238,0.0664,#0b5210,138.7,7
188,35.96,-22.97,6.86,0.1661,0.3687,0.2861,#2a5e48,163.4,18
189,23.54,-16.71,8.04,0.1225,0.2446,0.1709,#1f3e2b,154.3,54
190,28.4,-14.77,6.55,0.1765,0.2861,0.2217,#2d4838,156.1,30
191,48.94,68.17,35.49,0.8752,0.1558,0.2386,#df273c,27.5,154
192,49.05,63.04,45.88,0.8582,0.2029,0.1643,#da3329,36.0,41
193,53.33,61.86,41.67,0.9043,0.2657,0.2327,#e6433b,34.0,118
194,60.6,52.35,30.87,0.9388,0.4011,0.372,#ef665e,30.5,19
195,56.79,43.14,21.24,0.8341,0.403,0.3986,#d46665,26.2,22
196,52.95,54.48,14.81,0.8392,0.313,0.4069,#d54f67,15.2,13
197,53.79,62.76,31.74,0.9075,0.2679,0.3054,#e7444d,26.8,66
198,47.92,39.82,43.7,0.7323,0.3218,0.1578,#ba5228,47.7,11
199,51.94,51.64,53.92,0.8442,0.3078,0.116,#d74e1d,46.2,34
200,57.84,55.5,45.73,0.9326,0.3528,0.2417,#ed593d,39.5,33
201,58.59,53.01,52.6,0.9338,0.3722,0.1937,#ee5e31,44.8,102
202,61.16,40.67,42.12,0.8951,0.4531,0.2935,#e4734a,46.0,5
203,51.09,57.05,-4.52,0.8022,0.287,0.5147,#cc4983,355.5,34
204,56.06,72.03,-10.25,0.9295,0.2496,0.6053,#ed3f9a,351.9,13
205,37.79,16.8,3.48,0.4581,0.3091,0.3291,#744e53,11.7,25
206,44.01,12.33,6.64,0.502,0.3783,0.3668,#80605d,28.3,9
207,46.7,18.58,5.81,0.5643,0.3882,0.3988,#8f6265,17.4,68
208,45.1,8.85,-4.49,0.4644,0.4002,0.4485,#766672,333.1,9
209,54.17,17.27,3.08,0.6294,0.4657,0.4895,#a0767c,10.1,17
210,46.19,73.09,7.75,0.8404,0.0269,0.3915,#d60663,6.1,8
211,39.16,64.04,12.18,0.7175,0.0308,0.2969,#b6074b,10.8,34
212,43.77,65.33,34.9,0.7968,0.1014,0.1961,#cb1932,28.1,503
213,45.4,65.42,29.46,0.8141,0.1322,0.2457,#cf213e,24.2,288
214,40.45,55.0,24.37,0.7019,0.1632,0.231,#b2293a,23.9,64
215,40.91,63.28,32.3,0.7504,0.0754,0.1876,#bf132f,27.0,359
216,38.3,54.75,37.53,0.6828,0.133,0.1266,#ae2120,34.4,50
217,44.55,52.63,42.28,0.7517,0.2234,0.1453,#bf3825,38.8,27
218,50.72,32.72,20.29,0.708,0.3805,0.3448,#b46157,31.8,25
219,45.17,47.16,21.66,0.7183,0.2651,0.2881,#b74349,24.7,22
220,16.51,4.88,1.22,0.1901,0.1507,0.1539,#302627,14.0,115
221,23.3,6.53,5.82,0.2677,0.2034,0.1848,#44332f,41.7,14
222,20.71,6.99,11.33,0.255,0.1792,0.1315,#412d21,58.3,26
223,19.91,11.58,-4.54,0.2425,0.1656,0.2154,#3d2a36,338.6,13
224,5.44,19.17,5.72,0.1669,0.0152,0.0267,#2a0306,16.6,5
225,18.93,23.39,2.73,0.3033,0.1206,0.168,#4d1e2a,6.7,191
226,15.96,17.37,-0.33,0.2433,0.116,0.1593,#3e1d28,358.9,42
227,34.64,21.96,-14.99,0.4116,0.2717,0.4141,#684569,325.7,3
228,33.92,39.92,-8.64,0.5157,0.1964,0.3703,#83325e,347.8,21
229,29.29,49.03,-19.94,0.4885,0.0973,0.3952,#7c1864,337.9,4
230,26.91,37.04,-7.04,0.4311,0.1399,0.2951,#6d234b,349.2,47
231,33.57,54.79,33.47,0.624,0.0575,0.115,#9f0e1d,31.4,41
232,31.8,43.32,26.64,0.5495,0.1429,0.1394,#8c2423,31.6,176
233,38.26,40.9,23.78,0.6105,0.2239,0.2115,#9b3935,30.2,28
234,35.5,54.82,23.01,0.6412,0.0966,0.1967,#a31832,22.8,323
235,24.17,29.81,3.2,0.385,0.1425,0.2107,#622435,6.1,21
236,18.03,34.02,10.67,0.3476,0.0561,0.1192,#580e1e,17.4,85
237,22.56,37.44,10.97,0.4101,0.0835,0.1547,#681527,16.3,343
238,26.53,38.77,18.18,0.4647,0.116,0.146,#761d25,25.1,18
239,30.25,26.3,11.35,0.4417,0.2092,0.215,#703536,23.3,33
240,30.2,46.6,17.97,0.5397,0.1031,0.1799,#891a2d,21.1,70
241,27.94,38.29,8.69,0.4694,0.1367,0.2131,#772236,12.8,79
242,41.28,14.53,-34.25,0.3414,0.3616,0.6025,#575c99,293.0,54
243,35.88,10.99,-35.94,0.2398,0.3205,0.5571,#3d518e,287.0,185
244,31.0,26.8,-32.67,0.3413,0.2325,0.4879,#573b7c,309.4,14
245,40.45,32.87,-42.94,0.4298,0.3066,0.6519,#6d4ea6,307.4,1
246,28.99,-0.14,-25.53,0.1297,0.2762,0.422,#21466b,269.7,50
247,33.18,-2.28,-29.16,0.0975,0.3197,0.4859,#18517b,265.5,35
248,33.07,12.98,-45.12,0.1247,0.2954,0.5868,#1f4b95,286.1,67
249,29.84,11.52,-36.06,0.1792,0.2648,0.4963,#2d437e,287.7,115
250,28.81,22.59,-46.91,0.1859,0.2347,0.5544,#2f3b8d,295.7,89
251,25.09,12.53,-35.95,0.1386,0.2209,0.448,#233872,289.2,155
